Airline,Date,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,27/06/2019,Delhi,Cochin,"DEL , GOI , BOM , COK",22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441
Jet Airways,24/05/2019,Banglore,Delhi,"BLR , DEL",06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030
Jet Airways,3/03/2019,Delhi,Cochin,"DEL , BOM , COK",08:00,18:50,10h 50m,1 stop,No info,17024
Multiple carriers,9/04/2019,Delhi,Cochin,"DEL , BOM , COK",17:30,01:30 10 Apr,8h,1 stop,No info,13017
GoAir,6/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686
IndiGo,15/06/2019,Delhi,Cochin,"DEL , MAA , COK",02:00,07:25,5h 25m,1 stop,No info,5636
IndiGo,9/06/2019,Delhi,Cochin,"DEL , HYD , COK",07:35,16:10,8h 35m,1 stop,No info,6442
Multiple carriers,21/05/2019,Delhi,Cochin,"DEL , HYD , COK",13:05,00:55 22 May,11h 50m,1 stop,No info,9486
Jet Airways,21/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844
Jet Airways,3/06/2019,Delhi,Cochin,"DEL , ATQ , BOM , COK",20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318
Air India,3/04/2019,Delhi,Cochin,"DEL , MAA , COK",12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117
IndiGo,24/06/2019,Delhi,Cochin,"DEL , BLR , COK",15:10,20:00,4h 50m,1 stop,No info,6147
Multiple carriers,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",12:50,21:00,8h 10m,1 stop,No info,7005
SpiceJet,3/04/2019,Kolkata,Banglore,"CCU , BLR",22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873
Jet Airways,21/03/2019,Delhi,Cochin,"DEL , BDQ , BOM , COK",18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270
GoAir,27/06/2019,Banglore,Delhi,"BLR , DEL",11:40,14:30,2h 50m,non-stop,No info,3898
Jet Airways,12/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",08:25,20:45,12h 20m,1 stop,No info,14781
Jet Airways,24/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586
Air India,9/05/2019,Kolkata,Banglore,"CCU , JAI , BOM , BLR",08:20,07:55 10 May,23h 35m,2 stops,No info,10697
Jet Airways,27/06/2019,Delhi,Cochin,"DEL , ATQ , BOM , COK",20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300
IndiGo,03/03/2019,Banglore,New Delhi,"BLR , DEL",18:55,21:45,2h 50m,non-stop,No info,8855
Jet Airways,12/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844
Jet Airways,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024
Jet Airways,1/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314
IndiGo,24/03/2019,Banglore,New Delhi,"BLR , DEL",00:40,03:25,2h 45m,non-stop,No info,4777
Air India,9/06/2019,Kolkata,Banglore,"CCU , BBI , BLR",12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662
IndiGo,9/05/2019,Delhi,Cochin,"DEL , HYD , COK",06:50,16:10,9h 20m,1 stop,No info,6442
SpiceJet,12/06/2019,Delhi,Cochin,"DEL , PNQ , COK",08:45,13:15,4h 30m,1 stop,No info,5264
Jet Airways,27/05/2019,Delhi,Cochin,"DEL , BOM , COK",13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,12898
Air India,3/03/2019,Mumbai,Hyderabad,"BOM , HYD",13:55,15:25,1h 30m,non-stop,No info,6092
SpiceJet,21/05/2019,Banglore,Delhi,"BLR , DEL",05:55,08:35,2h 40m,non-stop,No info,3311
Jet Airways,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540
IndiGo,27/05/2019,Banglore,Delhi,"BLR , DEL",01:30,04:15,2h 45m,non-stop,No info,3419
Jet Airways,3/04/2019,Delhi,Cochin,"DEL , BOM , COK",14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,5177
Air India,18/04/2019,Delhi,Cochin,"DEL , COK",18:05,21:10,3h 5m,non-stop,No info,8246
Jet Airways,9/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",09:35,21:05,11h 30m,1 stop,No info,14676
Multiple carriers,27/06/2019,Delhi,Cochin,"DEL , BOM , COK",11:30,21:00,9h 30m,1 stop,No info,13587
Jet Airways,6/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",16:30,10:05 13 Jun,17h 35m,1 stop,No info,13044
IndiGo,3/04/2019,Delhi,Cochin,"DEL , BOM , COK",20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073
Vistara,21/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,18:50 22 May,25h 50m,1 stop,No info,9345
Jet Airways,6/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663
Multiple carriers,21/05/2019,Delhi,Cochin,"DEL , BOM , COK",08:00,21:00,13h,1 stop,No info,14277
Jet Airways,1/06/2019,Delhi,Cochin,"DEL , BOM , COK",10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262
Jet Airways,27/03/2019,Mumbai,Hyderabad,"BOM , HYD",19:35,21:05,1h 30m,non-stop,No info,5678
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , BOM , COK",16:00,01:30 16 May,9h 30m,1 stop,No info,13727
Jet Airways,6/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663
IndiGo,12/05/2019,Chennai,Kolkata,"MAA , CCU",14:45,17:05,2h 20m,non-stop,No info,3858
SpiceJet,24/06/2019,Delhi,Cochin,"DEL , PNQ , COK",08:45,13:15,4h 30m,1 stop,No info,4812
IndiGo,27/06/2019,Delhi,Cochin,"DEL , LKO , COK",21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775
Jet Airways,6/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,10539
IndiGo,3/06/2019,Kolkata,Banglore,"CCU , BLR",15:30,18:05,2h 35m,non-stop,No info,4804
Air Asia,12/06/2019,Banglore,Delhi,"BLR , DEL",11:10,13:55,2h 45m,non-stop,No info,3383
IndiGo,03/03/2019,Banglore,New Delhi,"BLR , HYD , DEL",12:10,17:05,4h 55m,1 stop,No info,8738
Air India,27/03/2019,Delhi,Cochin,"DEL , TRV , COK",05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165
IndiGo,24/06/2019,Delhi,Cochin,"DEL , HYD , COK",16:10,22:30,6h 20m,1 stop,No info,6412
Jet Airways,27/06/2019,Banglore,Delhi,"BLR , DEL",18:55,22:00,3h 5m,non-stop,No info,8016
Jet Airways,12/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,11087
SpiceJet,27/06/2019,Chennai,Kolkata,"MAA , CCU",09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",16:30,04:40 13 Jun,12h 10m,1 stop,No info,12471
Jet Airways,24/06/2019,Delhi,Cochin,"DEL , BOM , COK",09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,10262
Air India,18/03/2019,Banglore,New Delhi,"BLR , DEL",13:20,16:10,2h 50m,non-stop,No info,4441
Multiple carriers,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",07:05,15:30,8h 25m,1 stop,No info,12537
GoAir,24/03/2019,Kolkata,Banglore,"CCU , BOM , BLR",22:25,07:40 25 Mar,9h 15m,1 stop,No info,10091
Air India,3/06/2019,Banglore,Delhi,"BLR , DEL",21:05,23:55,2h 50m,non-stop,No info,6961
IndiGo,24/04/2019,Delhi,Cochin,"DEL , COK",05:35,08:50,3h 15m,non-stop,No info,5013
Air India,18/05/2019,Delhi,Cochin,"DEL , COK",05:10,08:00,2h 50m,non-stop,No info,6934
Multiple carriers,3/06/2019,Delhi,Cochin,"DEL , BOM , COK",06:40,19:00,12h 20m,1 stop,No info,10877
Jet Airways,18/04/2019,Banglore,Delhi,"BLR , DEL",15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",16:00,01:35 28 Mar,9h 35m,1 stop,No info,7048
Vistara,27/06/2019,Banglore,Delhi,"BLR , DEL",17:00,19:35,2h 35m,non-stop,No info,4878
Jet Airways,21/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844
Jet Airways,18/05/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",23:05,04:25 20 May,29h 20m,2 stops,No info,15129
IndiGo,12/05/2019,Banglore,Delhi,"BLR , DEL",00:30,03:25,2h 55m,non-stop,No info,3943
SpiceJet,6/06/2019,Delhi,Cochin,"DEL , MAA , COK",06:05,11:20,5h 15m,1 stop,No info,5583
Multiple carriers,6/06/2019,Delhi,Cochin,"DEL , HYD , COK",07:05,16:10,9h 5m,1 stop,No info,9646
Multiple carriers,3/06/2019,Delhi,Cochin,"DEL , BOM , COK",08:30,19:15,10h 45m,1 stop,No info,7677
IndiGo,1/06/2019,Delhi,Cochin,"DEL , BLR , COK",05:10,10:05,4h 55m,1 stop,No info,6842
Jet Airways,24/06/2019,Mumbai,Hyderabad,"BOM , HYD",08:45,10:15,1h 30m,non-stop,In-flight meal not included,4995
Vistara,9/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",07:10,18:50,11h 40m,1 stop,No info,9555
